,VIR,VIR,VIR,VIR,VIR,VIR,ABT,ABT,ABT,ABT,ABT,ABT,MRNA,MRNA,MRNA,MRNA,MRNA,MRNA,MRK,MRK,MRK,MRK,MRK,MRK,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-30,12.40999984741211,12.637999534606934,12.079999923706055,12.119999885559082,12.119999885559082,106400,87.5199966430664,87.79000091552734,86.61000061035156,86.80000305175781,86.43289947509766,2706100,19.540000915527344,19.940000534057617,18.940000534057617,19.049999237060547,19.049999237060547,1183300,91.52999877929688,91.69000244140625,90.7300033569336,91.02999877929688,90.28414916992188,3752800,145.77999877929688,146.1999969482422,145.02999877929688,145.3000030517578,144.3793487548828,2923300
2019-12-31,12.140000343322754,12.979999542236328,12.010000228881836,12.574999809265137,12.574999809265137,241400,86.5,86.98999786376953,86.2699966430664,86.86000061035156,86.49264526367188,3261100,18.959999084472656,19.639999389648438,18.959999084472656,19.559999465942383,19.559999465942383,1112400,90.91999816894531,90.98999786376953,90.44000244140625,90.94999694824219,90.20480346679688,4495000,145.10000610351562,146.00999450683594,144.77999877929688,145.8699951171875,144.9457244873047,4435000
2020-01-02,12.5600004196167,12.942000389099121,12.010000228881836,12.149999618530273,12.149999618530273,142200,86.05999755859375,86.95999908447266,85.80000305175781,86.94999694824219,86.58226013183594,4969000,19.56999969482422,19.809999465942383,18.8799991607666,19.229999542236328,19.229999542236328,1233600,91.08000183105469,92.13999938964844,90.37000274658203,92.04000091552734,91.28588104248047,7873500,145.8699951171875,146.02000427246094,145.0800018310547,145.97000122070312,145.0450897216797,5777000
2020-01-03,12.199999809265137,12.380000114440918,12.0,12.039999961853027,12.039999961853027,103700,85.75,86.66999816894531,85.58999633789062,85.88999938964844,85.52674102783203,4747000,19.020000457763672,19.360000610351562,18.719999313354492,18.889999389648438,18.889999389648438,1751000,90.68000030517578,92.06999969482422,90.51000213623047,91.25,90.50234985351562,5633300,143.5,145.3699951171875,143.0,144.27999877929688,143.3657989501953,5752400
2020-01-06,12.130000114440918,12.3100004196167,12.039999961853027,12.1899995803833,12.1899995803833,89500,85.62000274658203,86.36000061035156,85.20999908447266,86.33999633789062,85.97483825683594,5631700,18.700000762939453,18.739999771118164,18.010000228881836,18.1299991607666,18.1299991607666,1606500,91.2300033569336,91.73999786376953,90.98999786376953,91.63999938964844,90.88915252685547,7178400,144.0,144.1999969482422,142.85000610351562,144.10000610351562,143.18695068359375,7731300
2020-01-07,12.149999618530273,12.59000015258789,12.074999809265137,12.180000305175781,12.180000305175781,88100,85.7699966430664,86.30000305175781,85.54000091552734,85.86000061035156,85.49687194824219,3408100,18.149999618530273,18.31999969482422,17.68000030517578,17.780000686645508,17.780000686645508,1461400,90.80000305175781,91.12000274658203,89.12000274658203,89.19999694824219,88.4691390991211,10622400,144.00999450683594,145.4499969482422,141.3800048828125,144.97999572753906,144.0613555908203,7382900
2020-01-08,12.149999618530273,12.595000267028809,12.149999618530273,12.430000305175781,12.430000305175781,79400,86.23999786376953,86.66000366210938,85.93000030517578,86.20999908447266,85.84539031982422,5693900,17.989999771118164,18.079999923706055,17.760000228881836,17.979999542236328,17.979999542236328,1041600,89.08999633789062,89.5,88.41000366210938,88.5999984741211,87.87406158447266,14504300,144.8699951171875,145.97999572753906,143.6999969482422,144.9600067138672,144.04150390625,6605800
2020-01-09,12.579999923706055,12.699999809265137,12.369999885559082,12.640000343322754,12.640000343322754,43000,86.30000305175781,86.68000030517578,85.75,86.44000244140625,86.07442474365234,6432500,18.0,18.549999237060547,17.899999618530273,18.399999618530273,18.399999618530273,1495700,88.94999694824219,90.05000305175781,88.77999877929688,89.37999725341797,88.64766693115234,9269800,145.75999450683594,146.02999877929688,144.99000549316406,145.38999938964844,144.46876525878906,6112700
