,BA,BA,BA,BA,BA,BA,UNP,UNP,UNP,UNP,UNP,UNP,TRI,TRI,TRI,TRI,TRI,TRI,HON,HON,HON,HON,HON,HON,DAL,DAL,DAL,DAL,DAL,DAL
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-30,330.5,330.6300048828125,325.7099914550781,326.3999938964844,324.4695129394531,4525500,181.14999389648438,181.3800048828125,179.60000610351562,180.14999389648438,179.09573364257812,1493000,71.86000061035156,71.87000274658203,71.0999984741211,71.48999786376953,71.14322662353516,289800,176.55999755859375,177.0,175.75999450683594,176.4199981689453,175.4702606201172,1670100,59.25,59.29999923706055,58.2400016784668,58.65999984741211,58.257911682128906,3779300
2019-12-31,325.4100036621094,326.57000732421875,323.32000732421875,325.760009765625,323.83331298828125,4958800,179.9600067138672,181.25999450683594,179.5399932861328,180.7899932861328,179.7319793701172,1588800,71.37999725341797,71.66000366210938,71.05000305175781,71.5999984741211,71.25269317626953,312900,176.4600067138672,177.0800018310547,175.4600067138672,177.0,176.04713439941406,1728900,58.4900016784668,58.72999954223633,58.34000015258789,58.47999954223633,58.07914733886719,2917300
2020-01-02,328.54998779296875,333.3500061035156,327.70001220703125,333.32000732421875,331.34857177734375,4544400,180.9499969482422,182.3800048828125,179.97000122070312,182.27000427246094,181.2033233642578,2444800,71.61000061035156,72.18000030517578,71.55999755859375,72.16999816894531,71.81993103027344,293200,177.5,180.8000030517578,177.13999938964844,180.7899932861328,179.8167266845703,2857400,58.93000030517578,59.38999938964844,58.45000076293945,59.040000915527344,58.63530731201172,4459200
2020-01-03,330.6300048828125,334.8900146484375,330.29998779296875,332.760009765625,330.7919006347656,3875900,179.5399932861328,181.19000244140625,178.2899932861328,180.97999572753906,179.92086791992188,2344200,71.62000274658203,72.94000244140625,71.55999755859375,72.5999984741211,72.24784088134766,286500,178.33999633789062,179.8300018310547,177.41000366210938,178.86000061035156,177.89712524414062,2805200,57.5,58.119998931884766,56.90999984741211,58.060001373291016,57.662025451660156,9078100
2020-01-06,329.29998779296875,334.8599853515625,327.8800048828125,333.739990234375,331.7660827636719,5355000,179.6999969482422,180.0800018310547,177.94000244140625,179.42999267578125,178.37994384765625,3142500,72.30000305175781,73.38999938964844,72.19000244140625,73.3499984741211,72.99420166015625,454300,177.83999633789062,178.3800048828125,176.92999267578125,177.50999450683594,176.55438232421875,3277900,56.9900016784668,57.7599983215332,56.65999984741211,57.65999984741211,57.264766693115234,5504300
2020-01-07,334.260009765625,344.19000244140625,330.7099914550781,337.2799987792969,335.28515625,9898600,179.22999572753906,179.5800018310547,177.61000061035156,178.07000732421875,177.0279083251953,4096400,73.37999725341797,73.98999786376953,72.9800033569336,73.68000030517578,73.3226089477539,281600,177.3699951171875,178.07000732421875,175.58999633789062,177.61000061035156,176.6538543701172,3002800,57.90999984741211,58.06999969482422,57.470001220703125,57.61000061035156,57.215110778808594,5563000
2020-01-08,332.3999938964844,334.0299987792969,329.6000061035156,331.3699951171875,329.41009521484375,8239200,177.88999938964844,181.0500030517578,177.47999572753906,180.02000427246094,178.96649169921875,2817500,73.76000213623047,75.08000183105469,73.63999938964844,74.33000183105469,73.96945190429688,367500,177.6699981689453,179.10000610351562,176.72999572753906,177.75999450683594,176.80303955078125,2545500,57.75,59.400001525878906,57.72999954223633,58.849998474121094,58.44660949707031,8519000
2020-01-09,334.95001220703125,341.7300109863281,332.04998779296875,336.3399963378906,334.3507080078125,8175600,180.50999450683594,180.8300018310547,178.57000732421875,179.10000610351562,178.0518798828125,3311100,74.52999877929688,75.44000244140625,74.33999633789062,75.33000183105469,74.96460723876953,432800,178.6999969482422,179.42999267578125,178.05999755859375,179.07000732421875,178.1060028076172,1789500,59.2599983215332,59.470001220703125,58.58000183105469,58.959999084472656,58.55585479736328,5336700
